TransactionID,Category,Product,TransactionDate,Quantity,Price,TotalValue,CustomerID,PaymentMethod,ShippingAddress,Email,OrderStatus,DiscountCode,PaymentAmount
46685257-bdd6-40fb-8667-1ad11c80317f,Electronics,Laptop,2024-09-05,4,419.75,1679.0,bc8960a9-23b8-41e9-b924-56de3eb13b90,Bank Transfer,"PSC 4577, Box 6004
APO AP 02637",elizabethjones@hotmail.com,Pending,,1679.0
8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,,Dumbbells,2024-02-09,1,432.91,432.91,0822e8f3-6c03-4199-972a-846916419f82,Bank Transfer,"43350 Ellison Pass Apt. 107
Ericview, OR 33250",taylordorothy@gmail.com,Completed,,432.91
815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,Sports,,2024-01-12,1,407.04,407.04,32e70629-8fad-41a6-86cb-0fb39a1de644,Bank Transfer,"96931 Mcguire Extensions Suite 919
Benjaminshire, CO 07830",everettashley@hotmail.com,Completed,,407.04
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Toys,Action Figure,2024-10-05,5,418.62,16982.14,47378190-96da-4dac-b2ff-5d2a386ecbe0,PayPal,"PSC 5566, Box 1390
APO AP 83363",invalid_email,Completed,,16982.14
ce4a2bbd-c241-430b-81a9-e71fde8a774b,Electronics,Headphones,2024-11-10,3,335.22,1005.66,571aa876-6c30-4511-b2b9-437a28df6ec4,Credit Card,"058 Mark Square Apt. 206
Mullinsshire, CO 29610",invalid_email,Completed,,1005.66
c37459ee-f50b-4a63-b71e-cd7b27cd8130,,Sofa,2024-04-17,2,386.05,772.1,6142ea7d-17be-4111-9a2a-73ed562b0f79,Credit Card,,kford@hotmail.com,Completed,,772.1
9a8dca03-580d-4b71-98f5-64135be6128e,Sports,Dumbbells,,2,386.0,772.0,bacfb3d0-0b1f-4163-8e9f-f57f43b7a3a6,Credit Card,"25179 Amy Greens Apt. 686
Port Dennis, ID 64445",hjohnson@yahoo.com,Pending,,772.0
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Toys,Board Game,2024-06-27,3,238.37,715.11,4b0dbb41-8d52-48f1-942c-3fe860e7a113,PayPal,"983 Charles Trail
Morrisshire, DE 88548",martintracy@hall-yates.com,Pending,,43495.44
dc98d2c1-e2ac-472f-9e57-4f7aa0ee89ae,Health,Thermometer,2024-11-18,5,168.33,841.65,b45ed1f0-3139-432c-93cd-59bf5c941cf0,Bank Transfer,"3559 Kayla Extension Suite 979
South Brady, IN 26674",invalid_email,Pending,,841.65
c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,Books,Cookbook,2024-01-28,1,357.91,357.91,daf61a26-146d-4f31-bc37-7a4c4a15544d,Credit Card,"110 Stacy Drive
Alexanderville, NV 62260",invalid_email,Pending,,357.91
47294739-614f-43d7-99db-3ad0ddd1dfb2,Books,Cookbook,2024-03-31,3,458.6,1375.8,5d65a441-d588-42de-a2bc-372f7412b293,PayPal,"833 Dunn Road
Lake Holly, MS 76916",rpearson@stevens.org,Completed,,1375.8
